Denomination,Year,Monarch,Desc,Variety,Strike Type,Metal,Mintage,,,,,,,,,,,,,,,,,,18
QuarterFarthing,1839,Victoria,,,Business Strike,Bronze,3840000,,,,,,,,,,,,,,,,,,
QuarterFarthing,1851,Victoria,,,Business Strike,Bronze,2215680,,,,,,,,,,,,,,,,,,
QuarterFarthing,1852,Victoria,,,Business Strike,Bronze,,,,,,,,,,,,,,,,,,,
QuarterFarthing,1853,Victoria,,,Business Strike,Bronze,,,,,,,,,,,,,,,,,,,
QuarterFarthing,1853,Victoria,,,Proof,Bronze,,,,,,,,,,,,,,,,,,,
ThirdFarthing,1827,George IV,,,Business Strike,Bronze,,,,,,,,,,,,,,,,,,,
ThirdFarthing,1835,William IV,,,Business Strike,Bronze,,,,,,,,,,,,,,,,,,,
ThirdFarthing,1844,Victoria,,,Business Strike,Bronze,1301040,,,,,,,,,,,,,,,,,,
ThirdFarthing,1844,Victoria,,RE for REG,Business Strike,Bronze,,,,,,,,,,,,,,,,,,,
ThirdFarthing,1866,Victoria,,,Business Strike,Bronze,576000,,,,,,,,,,,,,,,,,,
ThirdFarthing,1868,Victoria,,,Business Strike,Bronze,144000,,,,,,,,,,,,,,,,,,
ThirdFarthing,1876,Victoria,,,Business Strike,Bronze,162000,,,,,,,,,,,,,,,,,,
ThirdFarthing,1878,Victoria,,,Business Strike,Bronze,288000,,,,,,,,,,,,,,,,,,
ThirdFarthing,1881,Victoria,,,Business Strike,Bronze,144000,,,,,,,,,,,,,,,,,,
ThirdFarthing,1884,Victoria,,,Business Strike,Bronze,144000,,,,,,,,,,,,,,,,,,
ThirdFarthing,1885,Victoria,,,Business Strike,Bronze,288000,,,,,,,,,,,,,,,,,,
ThirdFarthing,1902,Edward VII,,,Business Strike,Bronze,288000,,,,,,,,,,,,,,,,,,
ThirdFarthing,1913,George V,,,Business Strike,Bronze,288000,,,,,,,,,,,,,,,,,,
HalfFarthing,1828,George IV,,Obv. 1,Business Strike,Bronze,7680000,,,,,,,,,,,,,,,,,,
HalfFarthing,1828,George IV,,Obv. 2,Business Strike,Bronze,,,,,,,,,,,,,,,,,,,
HalfFarthing,1830,George IV,,Lg. Date,Business Strike,Bronze,8766320,,,,,,,,,,,,,,,,,,
HalfFarthing,1830,George IV,,Sm. Date,Business Strike,Bronze,,,,,,,,,,,,,,,,,,,
